EDNAME,Densit1996,Pop1996,Mal1996,Fem1996,Pop2002,Mal2002,Fem2002,Dnesit2002,Pop2006,Mal2006,Fem2006,Densit2006,Pop2011,Mal2011,Fem2011,Densit2011,Pop2016,Mal2016,Fem2016,Densit2016
Castledermot,59.8,1154,585,569,1123,559,564,58.2,1300,652,648,67.3,1609,801,808,83.4,1637,812,825,84.8
Churchtown,24.2,453,238,215,472,250,222,25.2,482,250,232,25.7,527,262,265,28.1,533,261,272,28.5
Dunmanoge,32,462,232,230,468,239,229,32.4,460,232,228,31.8,478,245,233,33.1,478,259,219,33.1
Fontstown,18.4,337,179,158,400,209,191,21.8,383,202,181,20.9,413,209,204,22.5,441,232,209,24
Graney,16.3,433,226,207,544,273,271,20.4,620,305,315,23.3,735,362,373,27.6,771,377,394,29
Grangemellon,28.6,525,265,260,547,274,273,29.8,571,286,285,31.1,598,299,299,32.6,619,328,291,33.7
Athy East Urban,1048.9,2291,1093,1198,2862,1391,1471,1310.3,3242,1577,1665,1484.3,3867,1915,1952,1770.4,3907,1926,1981,1788.7
Athy West Urban,1279.4,2171,1048,1123,2399,1170,1229,1413.8,3046,1517,1529,1795.1,2944,1416,1528,1735,3065,1551,1514,1806.3
Naas Urban,771.7,14074,7029,7045,18288,9250,9038,1002.8,20044,10212,9832,1099.1,20713,10253,10460,1135.7,21493,10521,10972,1178.5
Athy Rural,48.7,1665,869,796,1692,916,776,49.5,2495,1292,1203,73,3671,1852,1819,107.4,3821,1928,1893,111.8
Ballaghmoon,18.8,204,109,95,222,117,105,20.4,217,113,104,20,193,101,92,17.8,203,97,106,18.7
Ballitore,50.8,649,336,313,716,366,350,56,780,397,383,61,1026,521,505,80.3,1141,571,570,89.3
Ballybrackan,34.9,433,215,218,475,242,233,38.3,468,241,227,37.7,548,283,265,44.2,615,316,299,49.6
Ballyshannon,27.7,723,366,357,994,516,478,38,1626,824,802,62.2,1752,875,877,67.1,1787,882,905,68.4
Belan,16.4,177,98,79,188,109,79,17.4,219,124,95,20.2,270,145,125,24.9,272,146,126,25.1
Bert,14,152,85,67,159,91,68,14.6,154,83,71,14.2,156,85,71,14.4,159,89,70,14.6
Burtown,14.5,300,153,147,296,154,142,14.4,319,164,155,15.5,361,186,175,17.5,415,211,204,20.1
Carrigeen,16.1,486,258,228,543,290,253,18,583,303,280,19.3,624,315,309,20.7,624,315,309,20.7
Kildangan,17.8,268,130,138,370,175,195,24.6,535,259,276,35.5,693,335,358,46,740,357,383,49.1
Kilkea,23.3,426,210,216,369,184,185,20.2,332,179,153,18.2,388,195,193,21.3,392,206,186,21.5
Kilrush,19,342,171,171,425,210,215,23.6,584,296,288,32.4,655,332,323,36.4,682,336,346,37.9
Lackagh,20.1,514,269,245,582,302,280,22.8,683,344,339,26.7,790,400,390,30.9,863,428,435,33.7
Monasterevin,103,2820,1362,1458,3152,1514,1638,115.1,3649,1795,1854,133.2,4347,2120,2227,158.7,4896,2400,2496,178.8
Moone,18,316,167,149,372,190,182,21.2,429,213,216,24.4,471,233,238,26.8,487,245,242,27.7
Narraghmore,27,454,250,204,481,274,207,28.6,713,391,322,42.4,784,425,359,46.6,821,432,389,48.8
Maynooth,277.1,9286,4557,4729,10837,5301,5536,323.4,11500,5818,5682,343.2,13617,6843,6774,406.4,15905,7810,8095,474.7
Straffan,52.2,1358,716,642,1306,665,641,50.2,1449,760,689,55.7,1706,851,855,65.6,2034,1000,1034,78.3
Ballynadrumny,26.7,523,277,246,575,295,280,29.3,531,275,256,27.1,584,306,278,29.8,570,309,261,29.1
Nurney,44.1,555,290,265,672,366,306,53.4,894,466,428,71,959,488,471,76.2,1072,551,521,85.2
Quinsborough,6.8,99,46,53,115,55,60,7.9,137,68,69,9.4,145,72,73,10,162,81,81,11.1
Skerries,26,390,191,199,443,212,231,29.6,483,231,252,32.2,658,318,340,43.9,630,305,325,42
Balraheen,48,1598,1025,573,1884,1152,732,56.6,1655,832,823,49.7,2245,1332,913,67.4,2411,1415,996,72.4
Celbridge,633.6,11143,5557,5586,14333,7204,7129,815,14933,7568,7365,849.1,15323,7585,7738,871.3,15630,7809,7821,888.8
Cloncurry2,27.1,923,456,457,1174,570,604,34.5,1393,704,689,40.9,1495,750,745,44,1571,801,770,46.2
Donadea,21.2,435,227,208,573,300,273,27.9,679,342,337,33,750,372,378,36.5,794,395,399,38.6
Donaghcumper,111.1,2671,1343,1328,3118,1572,1546,129.7,4233,2145,2088,176.1,5710,2800,2910,237.5,6227,3057,3170,259
Kilcock,136.3,2238,1106,1132,3243,1573,1670,197.5,4697,2303,2394,286.1,6234,2997,3237,379.7,6927,3332,3595,421.9
Leixlip,1202.2,13585,6785,6800,15154,7644,7510,1341,14833,7553,7280,1312.6,15597,7739,7858,1380.2,15550,7698,7852,1376.1
Harristown,14.6,305,153,152,343,177,166,16.4,382,205,177,18.3,452,245,207,21.7,476,247,229,22.8
Inchaquire,14.8,181,92,89,186,98,88,15.2,185,89,96,15.1,205,102,103,16.7,233,126,107,19
Johnstown,18.6,161,90,71,157,82,75,18.1,167,93,74,19.2,179,99,80,20.6,173,95,78,19.9
Kilberry,35.8,608,326,282,589,313,276,34.7,580,297,283,34.2,619,326,293,36.5,633,339,294,37.3
Clane,212.5,4012,1992,2020,5179,2573,2606,274.3,6106,3045,3061,323.4,7527,3700,3827,398.7,7935,3905,4030,420.3
Donore,27.3,551,282,269,641,323,318,31.8,756,389,367,37.5,793,382,411,39.3,784,386,398,38.9
Downings,87,1399,720,679,2090,1031,1059,129.9,2573,1275,1298,159.9,2886,1439,1447,179.4,2958,1490,1468,183.9
Droichead Nua (Newbridge) Rural,46.7,899,442,457,1168,596,572,60.6,1848,918,930,95.9,2528,1268,1260,131.2,2708,1363,1345,140.6
Droichead Nua (Newbridge) Urban,2351.1,6586,3255,3331,7684,3802,3882,2743.1,7888,3916,3972,2815.9,7563,3741,3822,2699.9,7682,3797,3885,2742.4
Dunmurry,19.1,308,151,157,356,180,176,22.1,401,201,200,24.9,440,201,239,27.3,469,223,246,29.1
Feighcullen,48.9,539,259,280,549,267,282,49.8,526,256,270,47.7,586,287,299,53.1,618,308,310,56
Cadamstown,33.5,683,349,334,763,386,377,37.5,1108,558,550,54.4,1265,619,646,62.1,1425,707,718,70
Carbury,31.3,1399,717,682,1650,827,823,36.9,1721,861,860,38.5,1850,929,921,41.4,1914,957,957,42.8
Carrick,13.1,202,95,107,212,102,110,13.7,246,125,121,15.9,265,136,129,17.2,290,142,148,18.8
Cloncurry,14.5,229,115,114,328,163,165,20.8,351,173,178,22.3,388,192,196,24.6,398,192,206,25.3
Drehid,11.6,180,92,88,197,101,96,12.7,228,116,112,14.7,258,134,124,16.6,266,135,131,17.1
Dunfierth,24.2,543,293,250,610,333,277,27.2,690,376,314,30.7,751,400,351,33.4,725,379,346,32.3
Killinthomas,17.5,263,128,135,406,195,211,27,441,210,231,29.4,321,159,162,21.4,332,165,167,22.1
Kilpatrick,31.6,650,317,333,788,390,398,38.3,841,418,423,40.9,866,422,444,42.1,871,425,446,42.4
Kilrainy,18.8,405,195,210,501,253,248,23.2,626,308,318,29,740,366,374,34.3,753,391,362,34.9
Lullymore,6.1,131,69,62,163,82,81,7.6,181,84,97,8.4,191,91,100,8.9,187,96,91,8.7
Rathangan,92.7,1339,678,661,1533,774,759,106.1,1490,742,748,103.1,2272,1101,1171,157.3,2511,1219,1292,173.8
Thomastown,20.3,408,219,189,649,359,290,32.3,723,375,348,36,868,425,443,43.3,931,452,479,46.4
Windmill Cross,33.2,464,245,219,663,330,333,47.4,882,436,446,63.1,1137,556,581,81.4,1186,588,598,84.9
Ballymore Eustace,83.8,1385,717,668,1584,796,788,95.8,1524,760,764,92.2,1475,727,748,89.2,1534,754,780,92.8
Ballysax East,114.6,2373,1223,1150,2315,1281,1034,111.8,2123,1113,1010,102.5,1937,1006,931,93.6,1938,985,953,93.6
Ballysax West,64.8,937,491,446,1026,549,477,70.9,1042,554,488,72,1071,560,511,74,1066,541,525,73.7
Bodenstown,52,1458,756,702,3193,1613,1580,114,3734,1855,1879,133.3,4643,2308,2335,165.7,4959,2461,2498,177
Carnalway,42.4,1292,657,635,1399,693,706,45.9,1703,839,864,55.8,1914,928,986,62.7,1980,955,1025,64.9
Carragh,56.7,735,407,328,901,490,411,69.5,1487,796,691,114.8,1725,923,802,133.1,1819,958,861,140.4
Kill,112.4,2178,1081,1097,2993,1523,1470,154.4,3734,1894,1840,192.7,4449,2189,2260,229.6,4675,2286,2389,241.2
Killashee,18.4,256,127,129,258,132,126,18.6,295,149,146,21.2,309,146,163,22.3,265,139,126,19.1
Kilmeage North,53.7,1212,628,584,1394,728,666,61.7,1781,926,855,78.9,2080,1056,1024,92.1,2250,1137,1113,99.6
Kilmeage South,60.3,1063,530,533,1121,558,563,63.6,1668,835,833,94.6,2003,987,1016,113.6,2110,1023,1087,119.6
Timahoe South,25.8,439,216,223,533,257,276,31.4,722,350,372,42.5,772,379,393,45.4,845,418,427,49.7
Usk,22,417,212,205,460,239,221,24.3,482,247,235,25.4,502,244,258,26.5,515,258,257,27.2
Kilteel,26.2,459,230,229,483,245,238,27.6,552,287,265,31.6,577,299,278,33,571,285,286,32.7
Ladytown,27.8,559,281,278,778,403,375,38.7,862,460,402,42.8,941,480,461,46.8,963,467,496,47.9
Morristownbiller,433.3,7398,3711,3687,9693,4829,4864,567.7,11127,5589,5538,651.7,13852,6743,7109,811.3,14861,7250,7611,870.4
Naas Rural,49.4,668,335,333,1134,569,565,83.9,1717,862,855,127,2353,1174,1179,174,2736,1343,1393,202.3
Newtown,20.5,418,212,206,420,212,208,20.6,473,246,227,23.2,840,402,438,41.2,923,454,469,45.3
Oldconnell,37.6,670,342,328,786,386,400,44.1,864,451,413,48.5,904,471,433,50.7,1109,620,489,62.2
Oughterard,37.2,593,314,279,668,353,315,42,690,370,320,43.3,726,396,330,45.6,702,366,336,44.1
Pollardstown,20.8,226,122,104,286,150,136,26.4,340,178,162,31.3,305,163,142,28.1,313,165,148,28.9
Rathernan,21.1,368,181,187,423,209,214,24.2,505,253,252,28.9,614,309,305,35.2,597,297,300,34.2
Rathmore,36.1,877,417,460,1045,509,536,43,1025,497,528,42.2,1157,565,592,47.6,1141,581,560,47
Robertstown,107.5,1510,786,724,1760,900,860,125.3,1897,975,922,135,1923,961,962,136.9,1982,999,983,141.1
Timahoe North,19.5,703,356,347,868,425,443,24.1,988,497,491,27.4,1089,548,541,30.2,1163,598,565,32.3
Gilltown,21.6,695,350,345,803,413,390,24.9,896,456,440,27.8,944,478,466,29.3,946,478,468,29.3
Kilcullen,94.1,1682,824,858,1782,877,905,99.7,3022,1468,1554,169.1,3296,1596,1700,184.4,3505,1691,1814,196.1
Kildare,144,5343,2708,2635,6867,3485,3382,185,8791,4501,4290,236.9,9325,4682,4643,251.2,9859,4915,4944,265.6
